"","status","days","id","colony"
"1",0,4,27,2
"2",0,4,45,1
"3",1,5,23,1
"4",1,6,2,1
"5",1,8,28,1
"6",0,9,44,1
"7",1,10,14,2
"8",1,12,1,1
"9",0,13,43,2
"10",0,13,42,2
"11",1,14,8,1
"12",0,14,33,1
"13",0,14,34,2
"14",0,16,32,2
"15",0,16,40,2
"16",1,17,35,1
"17",1,18,13,2
"18",0,18,41,2
"19",1,22,11,1
"20",1,22,19,1
"21",0,23,39,2
"22",0,25,38,1
"23",0,26,4,1
"24",1,29,20,2
"25",1,30,3,1
"26",0,32,21,1
"27",0,33,6,2
"28",0,33,25,2
"29",0,36,31,2
"30",0,37,26,2
"31",0,39,37,2
"32",0,40,18,2
"33",0,40,24,2
"34",0,40,36,1
"35",0,41,7,2
"36",1,41,16,2
"37",0,41,29,1
"38",0,41,30,2
"39",0,46,22,2
"40",0,57,15,1
"41",0,74,9,2
"42",0,74,10,2
"43",0,78,5,2
"44",0,89,17,2
"45",0,92,12,2
"46",0,92,12,1
